run,t_stat,p_value,cohens_d,fixed_mean_ns,varied_mean_ns,fixed_std_ns,varied_std_ns,significant,negligible
4876,-0.333250,0.73894887,-0.004713,294843.97,294848.48,871.79,1036.90,no,yes
4877,-0.294181,0.76862250,-0.004160,295026.30,295030.28,943.04,968.46,no,yes
4878,-0.242925,0.80806573,-0.003435,294851.02,294854.75,1003.63,1163.67,no,yes
4879,0.325913,0.74449401,0.004609,294792.85,294787.13,1144.89,1332.00,no,yes
4880,-0.171203,0.86406611,-0.002421,295083.30,295098.45,6061.85,6443.62,no,yes
4881,0.328076,0.74285785,0.004640,295253.90,295245.99,1989.70,1365.17,no,yes
4882,-0.402921,0.68701070,-0.005698,303751.50,303756.98,858.73,1054.27,no,yes
4883,-0.036165,0.97115131,-0.000511,294792.02,294792.51,1015.68,907.58,no,yes
4884,0.127143,0.89882861,0.001798,295124.45,295113.06,6435.12,6223.00,no,yes
4885,-0.129706,0.89680007,-0.001834,294958.75,294960.74,1119.08,1051.79,no,yes
4886,-0.898892,0.36872109,-0.012712,294801.51,294815.03,1053.20,1072.97,no,yes
4887,-1.071058,0.28415626,-0.015147,294739.16,294754.13,934.60,1039.51,no,yes
4888,-1.329737,0.18362108,-0.018805,302856.08,302886.97,1428.17,1832.22,no,yes
4889,-0.422318,0.67279714,-0.005972,294712.54,294718.35,937.36,1004.59,no,yes
4890,0.476742,0.63355119,0.006742,301172.29,301165.94,992.73,890.08,no,yes
4891,0.331790,0.74005125,0.004692,295029.44,295024.43,1069.23,1067.28,no,yes
4892,-0.576875,0.56403041,-0.008158,294956.06,294973.51,2001.69,2269.49,no,yes
4893,-0.292674,0.76977487,-0.004139,295128.46,295135.79,1480.34,2019.49,no,yes
4894,-1.549714,0.12122879,-0.021916,295031.26,295058.96,969.68,1501.94,no,yes
4895,0.045368,0.96381480,0.000642,294926.39,294925.60,1303.26,1158.87,no,yes
4896,0.437218,0.66195767,0.006183,305523.26,305516.97,1031.07,1002.27,no,yes
4897,-0.078558,0.93738497,-0.001111,295041.33,295042.44,1023.80,971.04,no,yes
4898,1.437359,0.15063226,0.020327,295158.34,295134.63,1270.26,1052.49,no,yes
4899,-1.411383,0.15814812,-0.019960,294962.37,294982.28,871.21,1109.19,no,yes
4900,-0.029286,0.97663640,-0.000414,294868.02,294868.74,1704.90,1757.02,no,yes
4901,0.147324,0.88287768,0.002083,295130.82,295117.79,6321.62,6178.68,no,yes
4902,0.018234,0.98545260,0.000258,296090.87,296090.44,1378.79,1924.69,no,yes
4903,-0.516285,0.60566103,-0.007301,295253.45,295283.04,4027.77,4077.87,no,yes
4904,-0.966203,0.33395431,-0.013664,307525.55,308033.81,37012.87,37379.26,no,yes
4905,-1.341926,0.17963519,-0.018978,302599.74,303044.85,23137.22,23767.62,no,yes
4906,-0.820370,0.41201504,-0.011602,306408.29,306772.35,31335.06,31422.65,no,yes
4907,0.032054,0.97442932,0.000453,295095.07,295092.95,4838.70,4543.58,no,yes
4908,-0.275490,0.78294293,-0.003896,295175.20,295187.12,3047.85,3073.39,no,yes
4909,-0.384710,0.70045716,-0.005441,302836.85,302857.72,2867.26,4603.92,no,yes
4910,1.076047,0.28192373,0.015218,295030.03,295005.50,2031.29,1032.94,no,yes
