run,type,time_ns
512,fixed,359185
512,random,293503
513,fixed,294426
513,random,318491
514,fixed,292955
514,random,297066
515,fixed,293242
515,random,293662
516,fixed,296170
516,random,293176
517,fixed,293453
517,random,292870
518,fixed,294423
518,random,293426
519,fixed,292889
519,random,293912
520,fixed,292271
520,random,293371
521,fixed,298359
521,random,293116
522,fixed,292820
522,random,293205
523,fixed,294356
523,random,292985
524,fixed,358845
524,random,294082
525,fixed,292807
525,random,310571
526,fixed,296320
526,random,293267
527,fixed,293185
527,random,292748
528,fixed,295449
528,random,293174
529,fixed,293058
529,random,295745
530,fixed,293697
530,random,293258
531,fixed,293380
531,random,295497
532,fixed,298629
532,random,293012
533,fixed,294918
533,random,311678
534,fixed,293255
534,random,295924
535,fixed,359659
535,random,293021
536,fixed,311793
536,random,294133
537,fixed,293275
537,random,293329
538,fixed,293906
538,random,292568
539,fixed,292272
539,random,294054
540,fixed,293475
540,random,293488
541,fixed,293258
541,random,294156
542,fixed,292900
542,random,293088
543,fixed,294275
543,random,293436
544,fixed,293191
544,random,294050
545,fixed,292337
545,random,292353
546,fixed,292550
546,random,360580
547,fixed,293083
547,random,293253
548,fixed,312792
548,random,293473
549,fixed,293059
549,random,294289
550,fixed,292729
550,random,292797
551,fixed,292584
551,random,294548
552,fixed,293314
552,random,293438
553,fixed,294009
553,random,292844
554,fixed,292892
554,random,292789
555,fixed,294148
555,random,293180
556,fixed,293070
556,random,294497
557,fixed,293131
557,random,293081
558,fixed,294962
558,random,359639
559,fixed,293547
559,random,308946
560,fixed,317100
560,random,296184
561,fixed,293108
561,random,296043
562,fixed,292705
562,random,293133
563,fixed,295217
563,random,293006
564,fixed,293266
564,random,293423
565,fixed,294507
565,random,293013
566,fixed,293199
566,random,293877
567,fixed,291689
567,random,292683
568,fixed,294791
568,random,292787
569,fixed,292859
569,random,292926
570,fixed,360461
570,random,292626
571,fixed,311400
571,random,295173
572,fixed,292774
572,random,293074
573,fixed,294833
573,random,293863
574,fixed,293062
574,random,293219
575,fixed,295247
575,random,293344
576,fixed,292622
576,random,294660
577,fixed,292585
577,random,292900
578,fixed,293782
578,random,292580
579,fixed,292907
579,random,292733
580,fixed,294056
580,random,292929
581,fixed,293604
581,random,360097
582,fixed,292993
582,random,311124
583,fixed,295682
583,random,292944
584,fixed,293055
584,random,293535
585,fixed,295052
585,random,292870
586,fixed,292859
586,random,294092
587,fixed,293065
587,random,292716
588,fixed,293137
588,random,294891
589,fixed,385608
589,random,407572
590,fixed,292891
590,random,303720
591,fixed,334545
591,random,299320
592,fixed,320692
592,random,356168
593,fixed,308751
593,random,330557
594,fixed,293033
594,random,295465
595,fixed,292569
595,random,292674
596,fixed,294564
596,random,292565
597,fixed,292730
597,random,292804
598,fixed,295642
598,random,293169
599,fixed,293314
599,random,294728
600,fixed,292928
600,random,293408
601,fixed,294971
601,random,292985
602,fixed,292982
602,random,292806
603,fixed,294744
603,random,293301
604,fixed,346774
604,random,294891
605,fixed,333318
605,random,296885
606,fixed,304681
606,random,293619
607,fixed,296737
607,random,292808
608,fixed,295729
608,random,292849
609,fixed,296102
609,random,295100
610,fixed,293377
610,random,293254
611,fixed,295398
611,random,293461
612,fixed,293024
612,random,293111
613,fixed,294435
613,random,293140
614,fixed,293324
614,random,295689
615,fixed,370846
615,random,295087
616,fixed,341618
616,random,388015
617,fixed,343483
617,random,308365
618,fixed,327450
618,random,349933
619,fixed,305921
619,random,297713
620,fixed,315026
620,random,307136
621,fixed,299429
621,random,293597
622,fixed,293397
622,random,301537
623,fixed,293585
623,random,293123
624,fixed,346861
624,random,385777
625,fixed,455103
625,random,519228
626,fixed,322998
626,random,342498
627,fixed,352320
627,random,328809
628,fixed,300596
628,random,293278
629,fixed,293186
629,random,295612
630,fixed,292890
630,random,293078
631,fixed,292952
631,random,295609
632,fixed,292950
632,random,293179
633,fixed,294662
633,random,292727
634,fixed,292784
634,random,399308
635,fixed,292583
635,random,292516
636,fixed,293635
636,random,331576
637,fixed,292733
637,random,335692
638,fixed,351108
638,random,292596
639,fixed,292178
639,random,299325
640,fixed,293319
640,random,293399
641,fixed,295830
641,random,292501
642,fixed,364646
642,random,407074
643,fixed,327719
643,random,293593
644,fixed,302308
644,random,347327
645,fixed,306013
645,random,303362
646,fixed,293446
646,random,293134
647,fixed,293082
647,random,399310
648,fixed,292672
648,random,371614
649,fixed,374359
649,random,360698
650,fixed,338477
650,random,312226
651,fixed,324221
651,random,299867
652,fixed,293191
652,random,293742
653,fixed,292951
653,random,296010
654,fixed,292344
654,random,292370
655,fixed,294578
655,random,293048
656,fixed,293056
656,random,293518
657,fixed,294402
657,random,292922
658,fixed,293087
658,random,346016
659,fixed,292751
659,random,338230
660,fixed,333814
660,random,310543
661,fixed,293821
661,random,301787
662,fixed,297354
662,random,293546
663,fixed,293463
663,random,293595
664,fixed,291988
664,random,291950
665,fixed,293830
665,random,292894
666,fixed,293075
666,random,294846
667,fixed,293183
667,random,296086
668,fixed,408554
668,random,404111
669,fixed,501526
669,random,380674
670,fixed,381788
670,random,365001
671,fixed,375411
671,random,348433
672,fixed,360733
672,random,292228
673,fixed,292248
673,random,302326
674,fixed,293369
674,random,301042
675,fixed,339681
675,random,364292
676,fixed,345920
676,random,343282
677,fixed,345963
677,random,314174
678,fixed,292441
678,random,298697
679,fixed,388767
679,random,293596
680,fixed,307046
680,random,331343
681,fixed,349202
681,random,297218
682,fixed,293523
682,random,293417
683,fixed,295780
683,random,293487
684,fixed,293175
684,random,295820
685,fixed,293312
685,random,293326
686,fixed,293365
686,random,294373
687,fixed,292904
687,random,292937
688,fixed,400248
688,random,293244
689,fixed,293112
689,random,294848
690,fixed,293513
690,random,336061
691,fixed,293377
691,random,305079
692,fixed,347406
692,random,293848
693,fixed,297681
693,random,293817
694,fixed,337952
694,random,382207
695,fixed,405485
695,random,437425
696,fixed,393120
696,random,428944
697,fixed,376558
697,random,380063
698,fixed,388802
698,random,363173
699,fixed,366235
699,random,404530
700,fixed,392894
700,random,407003
701,fixed,390647
701,random,367506
702,fixed,395302
702,random,409879
703,fixed,398059
703,random,415936
704,fixed,411793
704,random,431934
705,fixed,360234
705,random,304124
706,fixed,298086
706,random,297804
707,fixed,302472
707,random,298149
708,fixed,293193
708,random,292622
709,fixed,294495
709,random,337742
710,fixed,293327
710,random,308871
711,fixed,341010
711,random,311974
712,fixed,292922
712,random,299003
713,fixed,293114
713,random,293543
714,fixed,296430
714,random,292945
715,fixed,292754
715,random,293071
716,fixed,295967
716,random,293301
717,fixed,293553
717,random,294405
718,fixed,292985
718,random,293111
719,fixed,336401
719,random,305770
720,fixed,293006
720,random,292857
721,fixed,355405
721,random,352242
722,fixed,370742
722,random,378495
723,fixed,364566
723,random,388871
724,fixed,388837
724,random,382433
725,fixed,373458
725,random,364390
726,fixed,388711
726,random,372909
727,fixed,378212
727,random,406504
728,fixed,415293
728,random,392149
729,fixed,385066
729,random,402817
730,fixed,378863
730,random,306030
731,fixed,347975
731,random,344158
732,fixed,348106
732,random,310019
733,fixed,303513
733,random,317910
734,fixed,311452
734,random,300975
735,fixed,292969
735,random,292926
736,fixed,298823
736,random,292788
737,fixed,292761
737,random,293004
738,fixed,297114
738,random,293301
739,fixed,293473
739,random,298665
740,fixed,293318
740,random,292981
741,fixed,344985
741,random,293778
742,fixed,341660
742,random,318103
743,fixed,300536
743,random,293128
744,fixed,303035
744,random,298617
745,fixed,325420
745,random,336572
746,fixed,341553
746,random,354962
747,fixed,400020
747,random,400333
748,fixed,305163
748,random,363807
749,fixed,378511
749,random,342788
750,fixed,391111
750,random,378704
751,fixed,382771
751,random,315319
752,fixed,346137
752,random,348940
753,fixed,319440
753,random,307979
754,fixed,308395
754,random,321298
755,fixed,308947
755,random,306124
756,fixed,315164
756,random,296795
757,fixed,292902
757,random,293439
758,fixed,305006
758,random,292876
759,fixed,293015
759,random,295818
760,fixed,304746
760,random,300895
761,fixed,295319
761,random,293070
762,fixed,318967
762,random,293306
763,fixed,444711
763,random,302488
764,fixed,297189
764,random,292639
765,fixed,292848
765,random,292708
766,fixed,295850
766,random,293222
767,fixed,293201
767,random,295588
768,fixed,293688
768,random,293001
769,fixed,304705
769,random,308447
770,fixed,292985
770,random,293107
771,fixed,312258
771,random,294879
772,fixed,359846
772,random,379271
773,fixed,422823
773,random,375985
774,fixed,376121
774,random,354050
775,fixed,330389
775,random,330126
776,fixed,357013
776,random,371289
777,fixed,366905
777,random,320890
778,fixed,337886
778,random,359003
779,fixed,298603
779,random,301229
780,fixed,299138
780,random,303271
781,fixed,297570
781,random,297685
782,fixed,300888
782,random,294768
783,fixed,296393
783,random,335692
784,fixed,293954
784,random,338954
785,fixed,299595
785,random,293400
786,fixed,296859
786,random,293315
787,fixed,293224
787,random,292895
788,fixed,296180
788,random,293220
789,fixed,293396
789,random,294676
790,fixed,292880
790,random,292743
791,fixed,294492
791,random,292445
792,fixed,292583
792,random,292436
793,fixed,294293
793,random,293336
794,fixed,293335
794,random,354566
795,fixed,374264
795,random,373353
796,fixed,384513
796,random,363378
797,fixed,411440
797,random,392397
798,fixed,391579
798,random,394761
799,fixed,395304
799,random,390113
800,fixed,369479
800,random,378377
801,fixed,397593
801,random,412321
802,fixed,384031
802,random,394513
803,fixed,410447
803,random,378612
804,fixed,302450
804,random,327217
805,fixed,319191
805,random,292912
806,fixed,292647
806,random,295724
807,fixed,292972
807,random,293222
808,fixed,293066
808,random,294757
809,fixed,293121
809,random,293572
810,fixed,296200
810,random,293712
811,fixed,293659
811,random,293752
812,fixed,294714
812,random,293190
813,fixed,293030
813,random,399795
814,fixed,293507
814,random,319518
815,fixed,294553
815,random,292781
816,fixed,332833
816,random,298180
817,fixed,293296
817,random,293572
818,fixed,293587
818,random,294650
819,fixed,292560
819,random,292692
820,fixed,300675
820,random,369890
821,fixed,368456
821,random,402136
822,fixed,399497
822,random,393295
823,fixed,393575
823,random,401989
824,fixed,405986
824,random,407957
825,fixed,416267
825,random,400675
826,fixed,409163
826,random,372359
827,fixed,335659
827,random,307968
828,fixed,325484
828,random,309100
829,fixed,320682
829,random,328720
830,fixed,308351
830,random,298406
831,fixed,298097
831,random,293290
832,fixed,293171
832,random,295955
833,fixed,293477
833,random,293489
834,fixed,293473
834,random,317166
835,fixed,338515
835,random,293039
836,fixed,302889
836,random,321611
837,fixed,293337
837,random,298647
838,fixed,292600
838,random,295754
839,fixed,293543
839,random,412776
840,fixed,295494
840,random,293234
841,fixed,297424
841,random,292895
842,fixed,293268
842,random,297757
843,fixed,293042
843,random,293032
844,fixed,294784
844,random,293157
845,fixed,293005
845,random,292656
846,fixed,304081
846,random,393865
847,fixed,372761
847,random,394161
848,fixed,392977
848,random,392962
849,fixed,386819
849,random,430045
850,fixed,406151
850,random,390458
851,fixed,402292
851,random,375124
852,fixed,421014
852,random,397254
853,fixed,388344
853,random,410349
854,fixed,317106
854,random,302619
855,fixed,320343
855,random,318448
856,fixed,332954
856,random,333440
857,fixed,292336
857,random,292002
858,fixed,297328
858,random,293116
859,fixed,292751
859,random,292907
860,fixed,298772
860,random,293253
861,fixed,293429
861,random,295145
862,fixed,292938
862,random,292927
863,fixed,293251
863,random,297089
864,fixed,292498
864,random,292404
865,fixed,294018
865,random,293047
866,fixed,292864
866,random,335598
867,fixed,293331
867,random,293323
868,fixed,321227
868,random,297862
869,fixed,293902
869,random,292917
870,fixed,296371
870,random,330955
871,fixed,385617
871,random,387876
