run,t_stat,p_value,cohens_d,fixed_mean_ns,random_mean_ns,fixed_std_ns,random_std_ns,significant,negligible
269,-0.124167,0.90118392,-0.001756,293584.52,293586.50,1097.78,1161.91,no,yes
270,0.491064,0.62338693,0.006945,293457.46,293439.94,2778.23,2239.30,no,yes
271,-0.011364,0.99093337,-0.000161,293403.92,293404.15,1202.61,1629.05,no,yes
272,-0.560051,0.57545102,-0.007920,293419.06,293433.67,1698.00,1979.73,no,yes
273,-0.504717,0.61376333,-0.007138,293560.22,293591.78,4512.63,4327.89,no,yes
274,0.136498,0.89142917,0.001930,294476.59,294474.39,1010.32,1258.51,no,yes
275,0.212147,0.83199470,0.003000,293440.94,293434.48,2321.44,1971.27,no,yes
276,0.812773,0.41635812,0.011494,293469.66,293429.78,3821.04,3076.53,no,yes
277,-1.116498,0.26422421,-0.015790,293412.89,293463.07,2562.30,3692.06,no,yes
278,-0.531348,0.59518435,-0.007514,293466.56,293477.36,1177.35,1656.21,no,yes
279,-1.025666,0.30506207,-0.014505,294686.71,294728.79,2590.94,3181.15,no,yes
280,0.388324,0.69778026,0.005492,293465.21,293452.31,2521.90,2165.61,no,yes
281,-0.121490,0.90330453,-0.001718,293937.14,293939.81,1506.98,1593.79,no,yes
282,-0.239665,0.81059276,-0.003389,293394.42,293399.42,1278.01,1649.92,no,yes
283,0.074660,0.94048607,0.001056,293301.02,293299.53,1412.90,1419.69,no,yes
284,1.379424,0.16778272,0.019508,293454.67,293411.59,2657.97,1640.35,no,yes
285,0.277630,0.78129892,0.003926,293293.11,293287.34,1465.57,1471.75,no,yes
286,0.650282,0.51551760,0.009196,293536.38,293527.44,899.91,1039.49,no,yes
287,0.222896,0.82361953,0.003152,293346.97,293340.16,2617.76,1572.68,no,yes
288,-1.441308,0.14951511,-0.020383,293764.49,293804.33,1588.63,2262.01,no,yes
289,-0.307106,0.75876627,-0.004343,293843.77,293852.85,1931.43,2238.55,no,yes
290,0.331854,0.74000368,0.004693,293628.66,293608.94,4821.91,3472.95,no,yes
291,-0.063287,0.94953829,-0.000895,293349.74,293351.33,1901.75,1648.00,no,yes
292,0.030116,0.97597463,0.000426,299085.80,299084.15,3964.82,3792.69,no,yes
293,-0.199209,0.84210111,-0.002817,293246.41,293253.22,2079.76,2715.48,no,yes
294,-0.059765,0.95234352,-0.000845,293340.58,293343.36,3159.21,3405.03,no,yes
295,0.076508,0.93901604,0.001082,293523.13,293521.87,1064.53,1256.60,no,yes
296,1.681164,0.09274965,0.023775,293353.93,293318.90,1763.60,1108.99,no,yes
297,1.619976,0.10525822,0.022910,293497.15,293408.09,4868.42,2553.81,no,yes
298,1.452819,0.14629002,0.020546,293380.87,293358.08,1193.26,1017.87,no,yes
299,2.619646,0.00880915,0.037047,293247.19,293203.17,1325.44,1032.69,yes,yes
300,0.857380,0.39124654,0.012125,293556.97,293530.00,2614.62,1748.16,no,yes
301,-0.480972,0.63054133,-0.006802,293207.93,293219.24,1614.72,1707.03,no,yes
302,-0.782795,0.43375672,-0.011070,293439.59,293459.36,1732.28,1837.11,no,yes
303,0.643285,0.52004671,0.009097,293457.53,293447.45,1136.26,1077.44,no,yes
304,0.619066,0.53588057,0.008755,293450.94,293435.77,1931.57,1509.10,no,yes
305,0.516552,0.60547523,0.007305,293529.76,293517.89,1849.00,1362.68,no,yes
306,-0.098668,0.92140259,-0.001395,293245.99,293248.20,1790.57,1349.66,no,yes
307,0.680154,0.49641507,0.009619,293399.72,293382.81,1954.33,1536.17,no,yes
308,1.106771,0.26840859,0.015652,293447.95,293420.05,2109.72,1380.06,no,yes
309,-0.934348,0.35013881,-0.013214,293227.26,293260.34,1716.66,3096.41,no,yes
310,0.510900,0.60942680,0.007225,293684.43,293657.74,4081.87,3261.22,no,yes
311,0.490181,0.62401092,0.006932,293888.74,293838.92,7399.21,6969.28,no,yes
312,1.172411,0.24104664,0.016580,293235.68,293213.85,1421.82,1202.22,no,yes
313,0.406368,0.68447641,0.005747,293337.43,293314.15,4389.43,3684.44,no,yes
